Model,AUC-ROC,AUC-PR,Best_F1,Precision,Recall,n_positives,n_negatives
TransE,0.7926157483801053,0.456811845254131,0.4452905811623247,0.5300572519083969,0.3838977194194886,2894,28940
ComplEx,0.8559309373491087,0.6492800404544898,0.6173789750860846,0.7459618208516887,0.5266067726330339,2894,28940
TriModel,0.8557787505928192,0.6361086406543612,0.5957699150029651,0.6960739030023094,0.5207325501036627,2894,28940
